author_channel_id,community_id,community_size,grado_aa,author_name,n_comentarios,n_videos
UCAxvOOHQk7dYPOajzFEVtbA,2,61,12,@ruddydepaz322,2.0,1.0
UCB5p8a5gklc80jJItP6xTHg,1,126,127,@ernestogamboa8737,1.0,1.0
UCBlm80VQ4YoV3bUJR_XhkaQ,6,18,17,@rosadiaz6945,2.0,1.0
UCBtB5dIyx-C16UN8ClUD2UA,3,55,6,@alexmonzon4257,1.0,1.0
UCCBYcToQ2dwkd6TJh0FSyDg,3,55,48,@lidiarodriguez3493,1.0,1.0
UCCUmP4PlbwgikVFpYwbtRTg,4,28,15,@alhvi,1.0,1.0
UCCaYwkkbQGcvFoUmothVdQQ,1,126,127,@OsvaldoAguirre-l3i,1.0,1.0
UCDIMztpVm7G27qBuiWuT6oQ,1,126,127,@lizardomorataya8274,1.0,1.0
UCDPWkUX3sNNaCx-m1dV4glA,1,126,127,@hectoroliva949,1.0,1.0
UCDQaQv0hr2SS_PO-CMEwVHg,1,126,127,@federicosaquimux1933,1.0,1.0
UCDUffaruH6dyUnUGwsTKpgg,1,126,127,@luisletona2842,1.0,1.0
UCDftMWXQoJ6nONfY7GVOVjg,1,126,127,@luisgpacheco5858,1.0,1.0
UCDlr1VadSucIZgZ171pRBjQ,1,126,127,@cuabatzjj5924,1.0,1.0
UCDrmf9y9nLgFY5wnA2hTuGA,3,55,48,@laboratorio5528,1.0,1.0
UCEHXl4VvvVpq-_4xC5tsbhg,2,61,31,@anibalg47,1.0,1.0
UCEgEQmRbtL5fwr9_DqAC--g,1,126,127,@ArielRodas-g5y,1.0,1.0
UCErZPJpHmLCsXs8ZWkAUupQ,1,126,127,@dorisl.garciaroche7763,1.0,1.0
UCFFrEmn6lPYiWyElpfzTy5Q,3,55,6,@denilsonlopez4083,1.0,1.0
UCFOxCyF926Y9eHhMeVoWLzw,5,25,24,@arielsarc09,1.0,1.0
UCFUuDARXdmmIrLppEqf-rFg,1,126,127,@allanmunoz7410,1.0,1.0
UCFhxtoeARHPnXXPcDrOU3Xg,1,126,127,@diegoalejandrolopezmendez205,1.0,1.0
UCFjudnPLoaSL1BaRuLahyHg,1,126,127,@HaroldoCastillo-rh9iw,3.0,1.0
UCFoIAE8k82D6AV-8gjjKaNg,1,126,127,@eddymunoz9789,1.0,1.0
UCFxE8GbokBrBsPEKM1xrOjQ,1,126,127,@JuanDavila-qd7qj,1.0,1.0
UCFybmWapGvBKcQod7cPPH9w,2,61,31,@vitalianochavez8382,1.0,1.0
UCGGHbtfbbe0o68etrOf0qxw,3,55,48,@karensussetteleonvargas9794,1.0,1.0
UCGX_UbAQOXGZknv5iqklwTA,2,61,18,@ronaldgarcia8522,1.0,1.0
UCGZMgmM92E3njyXNe9-kjAQ,6,18,17,@pasionpornada,1.0,1.0
UCGj2v6Gl5bN8NSrzJMXS-CA,4,28,5,@juliogutierrez492,1.0,1.0
UCGm3gRBEHGRJYmtCryZLtDw,7,6,6,@JoséLopez-g6k,1.0,1.0
UCGqKxQS-z3NZzZF-2w338AA,5,25,24,@samuelaguilar529,1.0,1.0
UCGzXwyCzMzGmjmCbH3Hg01Q,1,126,127,@FidelZacarias-ph7dy,1.0,1.0
UCHGd14aYuZZShLD73dkk6mg,9,3,2,@noemiherrera3152,1.0,1.0
UCHMQ_lDhibZ-XZ_3fo6oxwg,5,25,24,@crislexrubi4387,1.0,1.0
UCHTGCgY2l-DQJIvlA_cpa_Q,1,126,145,@virgiliogarcia3039,3.0,2.0
UCHbwIx9pmQuf7i-4_xO2EpA,3,55,48,@caminoseternos752,1.0,1.0
UCHhHUjaMAZ8SiXdCUCj9DkQ,1,126,127,@fredymendez1786,2.0,1.0
UCHu8x4MVkayU6VgwVKd--MQ,7,6,6,@Hernandez-i1o,1.0,1.0
