community_id,tipo,termino,frecuencia,ranking
9,bigrama,semilla bernardo,1,7
9,bigrama,bernardo arévalo,1,8
9,bigrama,arévalo oportunidad,1,9
9,bigrama,oportunidad guatemala,1,10
10,palabra,persona,1,1
10,palabra,encargado,1,2
10,palabra,ecosistema,1,3
10,palabra,ayudar,1,4
10,palabra,problema,1,5
10,palabra,recuerdo,1,6
10,palabra,dejar,1,7
10,palabra,semiya,1,8
10,palabra,perder,1,9
10,palabra,arma,1,10
10,bigrama,persona encargado,1,1
10,bigrama,encargado ecosistema,1,2
10,bigrama,ecosistema ayudar,1,3
10,bigrama,ayudar problema,1,4
10,bigrama,recuerdo dejar,1,5
10,bigrama,dejar semiya,1,6
10,bigrama,semiya perder,1,7
10,bigrama,perder arma,1,8
10,bigrama,arma delincuencia,1,9
10,bigrama,delincuencia reduse,1,10
11,palabra,wooow,1,1
12,palabra,teléfono,2,1
12,palabra,decir,2,2
12,palabra,existir,2,3
12,palabra,subscribir,1,4
12,palabra,boletín,1,5
12,palabra,informativo,1,6
12,palabra,intentar,1,7
12,palabra,pagina,1,8
12,palabra,web,1,9
12,palabra,colocado,1,10
12,bigrama,subscribir boletín,1,1
12,bigrama,boletín informativo,1,2
12,bigrama,informativo intentar,1,3
12,bigrama,intentar pagina,1,4
12,bigrama,pagina web,1,5
12,bigrama,web teléfono,1,6
12,bigrama,teléfono colocado,1,7
12,bigrama,colocado decir,1,8
12,bigrama,decir telguo,1,9
12,bigrama,telguo existir,1,10
13,palabra,corazón,1,1
13,palabra,rojo,1,2
13,palabra,cañón,1,3
13,palabra,confeti,1,4
13,bigrama,corazón rojo,1,1
13,bigrama,rojo cañón,1,2
13,bigrama,cañón confeti,1,3
14,palabra,gracias,1,1
14,palabra,video,1,2
14,palabra,importante,1,3
14,palabra,conocer,1,4
14,palabra,tipo,1,5
14,palabra,espacio,1,6
14,bigrama,gracias video,1,1
14,bigrama,video importante,1,2
14,bigrama,importante conocer,1,3
14,bigrama,conocer tipo,1,4
14,bigrama,tipo espacio,1,5
