author_1,author_2,weight
UC0HvfEWozTHbwl_iEmJNvVA,UC1NiEdJ7gk6FlDexIalWnGg,1
UC0HvfEWozTHbwl_iEmJNvVA,UC3YpzAr7pcdKC7BVFEpYzog,1
UC0HvfEWozTHbwl_iEmJNvVA,UC63tFvbQ_hJhGDi2nbjssjw,1
UC0HvfEWozTHbwl_iEmJNvVA,UCEHXl4VvvVpq-_4xC5tsbhg,1
UC0HvfEWozTHbwl_iEmJNvVA,UCFybmWapGvBKcQod7cPPH9w,1
UC0HvfEWozTHbwl_iEmJNvVA,UCRfkkatKrNtAARnXMMYBGlA,1
UC0HvfEWozTHbwl_iEmJNvVA,UCV3fr-YOixFKCZBbJP1-X4w,1
UC0HvfEWozTHbwl_iEmJNvVA,UCWaRixDdpgllTBf4V0jPnKQ,1
UC0HvfEWozTHbwl_iEmJNvVA,UCWvntqPQx99k_Z_skWKqNSA,1
UC0HvfEWozTHbwl_iEmJNvVA,UCZFQwqh90apuL8eFhvRBkUg,1
UC0HvfEWozTHbwl_iEmJNvVA,UCa36MjQLoPAmgJo-R3G8WQA,1
UC0HvfEWozTHbwl_iEmJNvVA,UCaT4saRcyqCLE657Rq2hhZQ,1
UC0HvfEWozTHbwl_iEmJNvVA,UCeQk-WfEA-cJRq4EKeE7TOw,1
UC0HvfEWozTHbwl_iEmJNvVA,UCfo_yUPzy1f1POwwZxhZ06Q,1
UC0HvfEWozTHbwl_iEmJNvVA,UCgGqw4aqMdMVSGkKiMgrJRQ,1
UC0HvfEWozTHbwl_iEmJNvVA,UCheEJ5GZuIvV0fj-nXyVwXw,1
UC0HvfEWozTHbwl_iEmJNvVA,UChyps3dqY-VY1_wLeq-2lhw,1
UC0HvfEWozTHbwl_iEmJNvVA,UCiOZX__1gahg1ypIj0_XG_w,1
UC0HvfEWozTHbwl_iEmJNvVA,UCjZgFEowMBrsjodqfovzdKw,1
UC0HvfEWozTHbwl_iEmJNvVA,UCoGdCoJg2Lh0OX_jv6cG16g,1
UC0HvfEWozTHbwl_iEmJNvVA,UCp29O_C7cchZV8IxV7Crdag,1
UC0HvfEWozTHbwl_iEmJNvVA,UCql1n3Ey6ULMSOACjMe-fxQ,1
UC0HvfEWozTHbwl_iEmJNvVA,UCtCtts20bW6F9CSohau51Iw,1
UC0HvfEWozTHbwl_iEmJNvVA,UCtsxPYw8VUsH_FfnKg-0lmw,1
UC0HvfEWozTHbwl_iEmJNvVA,UCvDwJBBY1mHK70aTEYl6rsA,1
UC0HvfEWozTHbwl_iEmJNvVA,UCwxoKK59nGCeBqB2sXfDBIw,1
UC0HvfEWozTHbwl_iEmJNvVA,UCyJhqmMbsvjpoarBBStA2kg,1
UC0HvfEWozTHbwl_iEmJNvVA,UCzZ6dDCEsLMXbc5pCFXIprw,1
UC14qlobYKqD-DO0j6b75lcA,UC1NiEdJ7gk6FlDexIalWnGg,1
UC14qlobYKqD-DO0j6b75lcA,UC3YpzAr7pcdKC7BVFEpYzog,1
