nodo,grado,grado_ponderado,betweenness,closeness,pagerank,red,eigenvector_comp_mayor,tipo
UC63tFvbQ_hJhGDi2nbjssjw,1,1,0.0,0.1326122448979592,0.0012314659094801786,Bipartita,2.719753877234905e-06,autor
UC650pRT-OYzny3GwOH8Cgfw,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UC6PvO1_k5lHKGdAPo5_C6TA,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UC6Uj1FT5JjDSF8vudvDxPAA,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UC6YSZqL0vEcI-niPKIMUGfw,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UC6xI_MOaxajIWpoP8BH6E_Q,1,1,0.0,0.002857142857142857,0.002849002849002849,Bipartita,,autor
UC72gBAtyb_VXQlYDcFrh6oQ,1,3,0.0,0.22186561048893746,0.0030759504354549907,Bipartita,0.13280104879559815,autor
UC7IMsCxfZyWN7YQo8-JYa6Q,1,2,0.0,0.170640756302521,0.0021198116424276515,Bipartita,0.0008271705116276501,autor
UC7VUuJr9cGh845CmTvf7TlQ,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UC7dadZG7kkGYnsNu6td0FbA,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UC816IGbFCZinfYS1LRDaaHg,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UC8F2V63KZ4ZEay6opX2hAQw,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UC8G5cJONY8L9voMyBW8Eoug,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UC8r11yOugM2NuRfitQOxLLg,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UC8xlJWNHz1V_W6q3fbuQH8g,1,1,0.0,0.170640756302521,0.0012735810348890395,Bipartita,0.00041358525581382504,autor
UC95PSMouTx2N5CbSq0hIyrQ,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UC9Wp6vL5oCU37qC3Aj94WZA,1,1,0.0,0.14614069809283917,0.001594478004275582,Bipartita,0.00017844469757576138,autor
UC9vMq1YF-e7C-VO0SHkbUTA,1,4,0.0,0.22186561048893746,0.003958817104823178,Bipartita,0.17706806506079764,autor
UC9xr9QvIcDvoZNUX5f-jaZw,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCA93ym2TXs_Ibyxb4Vcn-6Q,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCAKuKvcbfnBD3kF5njNu-IA,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UCAV7QIjYhbDJaycQycM_0eQ,1,1,0.0,0.170640756302521,0.0012735810348890395,Bipartita,0.00041358525581382504,autor
UCAlzM_N6xBlMYmM8EBzX86Q,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCAmtbUiIrUIhikru0ZoTFig,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCAxvOOHQk7dYPOajzFEVtbA,1,2,0.0,0.10232426303854876,0.0025527851401758316,Bipartita,2.275265456763513e-08,autor
